threadId, averageNumTries, minNumTries, maxNumTries, averageWaitTime, minWaitTime, maxWaitTime, nThreads=1
3, 3.513700, 1, 34810, 0.000042, 0.000001, 0.209950
4, 3.635040, 1, 36536, 0.000042, 0.000000, 0.383453
5, 3.163620, 1, 29642, 0.000045, 0.000000, 0.436097
6, 3.942080, 1, 30654, 0.000045, 0.000000, 0.384012
7, 3.301680, 1, 14857, 0.000043, 0.000000, 0.238058
8, 2.806390, 1, 28100, 0.000037, 0.000000, 0.506460
9, 4.139850, 1, 34248, 0.000041, 0.000001, 0.202458
10, 3.525200, 1, 28109, 0.000043, 0.000001, 0.348449
11, 4.240240, 1, 35038, 0.000040, 0.000001, 0.213568
12, 4.091310, 1, 37600, 0.000043, 0.000001, 0.202455
13, 4.306150, 1, 35217, 0.000040, 0.000001, 0.235584
14, 3.913990, 1, 30373, 0.000043, 0.000001, 0.374208
threadId, averageNumTries, minNumTries, maxNumTries, averageWaitTime, minWaitTime, maxWaitTime, nThreads=16
0, 7.207770, 1, 38025, 0.000055, 0.000000, 0.238227
1, 6.398490, 1, 35081, 0.000053, 0.000001, 0.238196
2, 6.486680, 1, 35628, 0.000054, 0.000001, 0.238264
3, 7.294940, 1, 38022, 0.000056, 0.000002, 0.238217
4, 3.783950, 1, 53112, 0.000061, 0.000000, 0.821820
5, 3.489510, 1, 28056, 0.000056, 0.000000, 0.462553
6, 3.464870, 1, 41273, 0.000058, 0.000001, 0.516426
7, 7.299490, 1, 38047, 0.000056, 0.000001, 0.238281
8, 4.501240, 1, 35217, 0.000058, 0.000001, 0.561013
9, 4.151010, 1, 53126, 0.000056, 0.000000, 0.740414
10, 6.447770, 1, 35627, 0.000055, 0.000002, 0.238221
11, 6.961030, 1, 35189, 0.000057, 0.000001, 0.238224
12, 3.787880, 1, 48014, 0.000061, 0.000000, 1.141481
13, 3.852610, 1, 29356, 0.000058, 0.000000, 0.564366
14, 6.459160, 1, 34598, 0.000055, 0.000002, 0.238193
15, 3.925790, 1, 46852, 0.000058, 0.000000, 0.715992
threadId, averageNumTries, minNumTries, maxNumTries, averageWaitTime, minWaitTime, maxWaitTime, nThreads=17
0, 4.802660, 1, 34372, 0.000050, 0.000000, 0.610738
1, 4.651300, 1, 27804, 0.000043, 0.000002, 0.190287
2, 4.743300, 1, 28282, 0.000043, 0.000002, 0.190258
3, 4.587500, 1, 28709, 0.000048, 0.000001, 0.237510
4, 5.065580, 1, 30694, 0.000056, 0.000001, 0.562424
5, 3.525920, 1, 23168, 0.000054, 0.000000, 0.802089
6, 4.632140, 1, 30027, 0.000055, 0.000001, 0.421648
7, 4.175270, 1, 28003, 0.000054, 0.000001, 0.313922
8, 3.642760, 1, 57424, 0.000058, 0.000000, 0.859791
9, 4.472810, 1, 21995, 0.000052, 0.000001, 0.358444
10, 4.759970, 1, 27581, 0.000043, 0.000002, 0.190266
11, 4.016500, 1, 21435, 0.000054, 0.000001, 0.333380
12, 3.593590, 1, 23141, 0.000053, 0.000000, 0.429642
13, 3.616520, 1, 43254, 0.000056, 0.000000, 1.002634
14, 3.975020, 1, 27688, 0.000055, 0.000000, 0.333728
15, 3.686420, 1, 21543, 0.000053, 0.000002, 0.322755
16, 4.731090, 1, 27226, 0.000046, 0.000002, 0.190065
threadId, averageNumTries, minNumTries, maxNumTries, averageWaitTime, minWaitTime, maxWaitTime, nThreads=18
0, 7.493790, 1, 41355, 0.000077, 0.000000, 0.429715
1, 6.211240, 1, 47957, 0.000077, 0.000000, 0.622166
2, 6.639420, 1, 39870, 0.000056, 0.000001, 0.286259
3, 7.822370, 1, 59718, 0.000077, 0.000001, 0.653386
4, 5.903750, 1, 62738, 0.000081, 0.000001, 0.908328
5, 4.822290, 1, 27469, 0.000075, 0.000001, 0.574036
6, 6.520810, 1, 41413, 0.000073, 0.000002, 0.669049
7, 6.508540, 1, 54400, 0.000083, 0.000002, 0.755280
8, 5.640040, 1, 30690, 0.000078, 0.000000, 0.525437
9, 6.589760, 1, 39851, 0.000057, 0.000002, 0.286267
10, 6.854420, 1, 54029, 0.000078, 0.000002, 0.755350
11, 5.970700, 1, 36506, 0.000079, 0.000000, 0.601871
12, 7.311330, 1, 38369, 0.000081, 0.000001, 0.447943
13, 7.565570, 1, 49669, 0.000071, 0.000001, 0.522173
14, 5.662400, 1, 36305, 0.000067, 0.000000, 0.669291
15, 5.675520, 1, 41324, 0.000076, 0.000002, 0.669306
16, 6.459070, 1, 42788, 0.000078, 0.000002, 0.567623
17, 6.150080, 1, 53446, 0.000081, 0.000000, 0.866849
threadId, averageNumTries, minNumTries, maxNumTries, averageWaitTime, minWaitTime, maxWaitTime, nThreads=19
0, 7.671340, 1, 36569, 0.000065, 0.000000, 0.259543
1, 7.600960, 1, 47408, 0.000078, 0.000000, 0.560401
2, 8.614140, 1, 41325, 0.000064, 0.000000, 0.257795
3, 6.385250, 1, 49509, 0.000083, 0.000001, 0.716707
4, 5.676530, 1, 41342, 0.000082, 0.000002, 0.658679
5, 5.197000, 1, 89938, 0.000085, 0.000000, 1.333224
6, 7.488950, 1, 37543, 0.000062, 0.000002, 0.260017
7, 5.206960, 1, 41320, 0.000081, 0.000000, 0.658718
8, 5.026770, 1, 49772, 0.000084, 0.000002, 0.716602
9, 6.058020, 1, 89908, 0.000083, 0.000001, 1.333291
10, 6.594960, 1, 37031, 0.000084, 0.000001, 0.479135
11, 8.685010, 1, 41250, 0.000065, 0.000001, 0.254262
12, 5.193910, 1, 58572, 0.000082, 0.000000, 0.825057
13, 5.489070, 1, 49406, 0.000084, 0.000001, 0.678521
14, 5.595180, 1, 122899, 0.000082, 0.000000, 1.630014
15, 5.398180, 1, 114427, 0.000082, 0.000000, 1.626486
16, 7.571600, 1, 45560, 0.000076, 0.000001, 0.590235
17, 5.441280, 1, 73309, 0.000080, 0.000002, 1.089124
