threadId, Average Number of Tries, Minimum Number of Tries, Maximum Number of Tries, Average Wait Time (s), Minimum Wait Time (s), Maximum Wait Time (s), Number of Threads=1
8, 1.465270, 1, 11, 0.000008, 0.000002, 0.005228
9, 1.437420, 1, 8, 0.000008, 0.000002, 0.000905
10, 1.454860, 1, 10, 0.000008, 0.000000, 0.003429
11, 1.468300, 1, 9, 0.000008, 0.000002, 0.000182
12, 1.275280, 1, 8, 0.000011, 0.000000, 0.429463
13, 1.495490, 1, 9, 0.000009, 0.000000, 0.287424
threadId, Average Number of Tries, Minimum Number of Tries, Maximum Number of Tries, Average Wait Time (s), Minimum Wait Time (s), Maximum Wait Time (s), Number of Threads=15
0, 1.424350, 1, 11, 0.000008, 0.000000, 0.000308
1, 1.428230, 1, 12, 0.000008, 0.000001, 0.005768
2, 1.427240, 1, 10, 0.000008, 0.000001, 0.000320
3, 1.461980, 1, 11, 0.000008, 0.000001, 0.001097
4, 1.468980, 1, 9, 0.000008, 0.000002, 0.004002
5, 1.463330, 1, 9, 0.000008, 0.000001, 0.012841
6, 1.325330, 1, 11, 0.000009, 0.000000, 0.287545
7, 1.473650, 1, 9, 0.000008, 0.000001, 0.000690
8, 1.345690, 1, 8, 0.000012, 0.000000, 0.191639
9, 1.492900, 1, 9, 0.000008, 0.000002, 0.008564
10, 1.460090, 1, 11, 0.000008, 0.000002, 0.000151
11, 1.288650, 1, 9, 0.000007, 0.000000, 0.287500
12, 1.316720, 1, 9, 0.000011, 0.000000, 0.287128
13, 1.481270, 1, 10, 0.000008, 0.000001, 0.005608
14, 1.318650, 1, 8, 0.000010, 0.000000, 0.277298
threadId, Average Number of Tries, Minimum Number of Tries, Maximum Number of Tries, Average Wait Time (s), Minimum Wait Time (s), Maximum Wait Time (s), Number of Threads=16
0, 1.387280, 1, 9, 0.000008, 0.000001, 0.002999
1, 1.385710, 1, 11, 0.000008, 0.000001, 0.000736
2, 1.416090, 1, 8, 0.000008, 0.000000, 0.003536
3, 1.436030, 1, 13, 0.000008, 0.000001, 0.000311
4, 1.443500, 1, 9, 0.000008, 0.000001, 0.005194
5, 1.327430, 1, 10, 0.000010, 0.000000, 0.282222
6, 1.459270, 1, 9, 0.000008, 0.000002, 0.000736
7, 1.485120, 1, 10, 0.000008, 0.000001, 0.011536
8, 1.462090, 1, 10, 0.000008, 0.000001, 0.019337
9, 1.463690, 1, 10, 0.000008, 0.000002, 0.000249
10, 1.447080, 1, 9, 0.000006, 0.000000, 0.000700
11, 1.464690, 1, 10, 0.000008, 0.000002, 0.008724
12, 1.297330, 1, 8, 0.000008, 0.000000, 0.381948
13, 1.450430, 1, 9, 0.000008, 0.000001, 0.287212
14, 1.304260, 1, 8, 0.000010, 0.000000, 0.274452
15, 1.279950, 1, 8, 0.000012, 0.000000, 0.287594
threadId, Average Number of Tries, Minimum Number of Tries, Maximum Number of Tries, Average Wait Time (s), Minimum Wait Time (s), Maximum Wait Time (s), Number of Threads=17
0, 1.439310, 1, 12, 0.000008, 0.000000, 0.000199
1, 1.421750, 1, 12, 0.000010, 0.000001, 0.075479
2, 1.485070, 1, 10, 0.000008, 0.000002, 0.002806
3, 1.458060, 1, 9, 0.000008, 0.000002, 0.006494
4, 1.411340, 1, 9, 0.000008, 0.000001, 0.000441
5, 1.453780, 1, 9, 0.000011, 0.000000, 0.215043
6, 1.458920, 1, 10, 0.000013, 0.000001, 0.286039
7, 1.484040, 1, 12, 0.000008, 0.000002, 0.020785
8, 1.448770, 1, 11, 0.000009, 0.000000, 0.191502
9, 1.431430, 1, 11, 0.000013, 0.000000, 0.190863
10, 1.375470, 1, 9, 0.000012, 0.000001, 0.225821
11, 1.477030, 1, 9, 0.000013, 0.000000, 0.190381
12, 1.477570, 1, 9, 0.000009, 0.000001, 0.024789
13, 1.430190, 1, 9, 0.000009, 0.000000, 0.085235
14, 1.420910, 1, 9, 0.000011, 0.000000, 0.190210
15, 1.462030, 1, 9, 0.000013, 0.000000, 0.191232
16, 1.460230, 1, 11, 0.000011, 0.000001, 0.179913
threadId, Average Number of Tries, Minimum Number of Tries, Maximum Number of Tries, Average Wait Time (s), Minimum Wait Time (s), Maximum Wait Time (s), Number of Threads=18
0, 1.413700, 1, 9, 0.000008, 0.000000, 0.000247
1, 1.404680, 1, 10, 0.000008, 0.000002, 0.000198
2, 1.426170, 1, 9, 0.000008, 0.000002, 0.000231
3, 1.412730, 1, 11, 0.000008, 0.000002, 0.000253
4, 1.444650, 1, 10, 0.000008, 0.000002, 0.000228
5, 1.416560, 1, 8, 0.000009, 0.000000, 0.285413
6, 1.463130, 1, 10, 0.000012, 0.000002, 0.191485
7, 1.415080, 1, 11, 0.000011, 0.000002, 0.190616
8, 1.455550, 1, 8, 0.000009, 0.000001, 0.033672
9, 1.439170, 1, 9, 0.000011, 0.000002, 0.191319
10, 1.454550, 1, 9, 0.000012, 0.000000, 0.181329
11, 1.417550, 1, 11, 0.000009, 0.000000, 0.191728
12, 1.375050, 1, 9, 0.000015, 0.000000, 0.334607
13, 1.387480, 1, 9, 0.000010, 0.000000, 0.252328
14, 1.443070, 1, 13, 0.000012, 0.000002, 0.191944
15, 1.458470, 1, 10, 0.000014, 0.000001, 0.191746
16, 1.454160, 1, 9, 0.000009, 0.000003, 0.017243
17, 1.438770, 1, 11, 0.000007, 0.000001, 0.000332
